"   ","OID","NAME","LONGDESC","LONGDESC_EXT1"
"14","1074535066","Goods vehicle operator licence (England, Scotland &amp; Wales)","<p>You will need a goods vehicle operator's licence to carry goods if you use a vehicle with either:</p>

<ul>
<li>a gross plated weight of over 3,500 kilograms</li>

<li>if it has no gross plated weight, an unladen weight of more than 1,525 kilograms</li>
</ul>

<p>You can apply for three types of goods vehicle operator's licence:</p>

<ul>
<li>Standard licence for national operations only - you can carry your own goods in Great Britain, and carry other people's goods for hire or reward in Great Britain. You can also haul loaded trailers to or from ports within Great Britain as part of an international journey, as long as your motor vehicles do not actually leave Great Britain.</li>

<li>Standard licence for national and international operations - you can carry your own goods, and other people's goods, for hire or reward in Great Britain and on international journeys</li>

<li>Restricted licences - you can carry your own goods, but not to carry other people's goods for hire or reward.</li>
</ul>

<p>You need to hold a goods vehicle operator's licence for each traffic area in which you have an operating centre.</p>

<p>Applications for new operator's licences can be made on form GV79. This form needs to be sent, along with the fee and supporting documents, to the Central Licensing Office, which processes applications on behalf of the Traffic Commissioners.</p>",""
"15","1080509588","Livestock transport authorisation (Scotland)","<p>To transport animals on journeys of over eight hours, you need authorisation from the Scottish Government Rural Payments and Inspections Directorate.</p>
",""
"16","1080509452","Water abstraction licence (Scotland)","<p>If you intend to abstract water from natural water sources in Scotland, eg coastal waters, watercourses or underground water reserves, you may be required to obtain a licence from the Scottish Environment Protection Agency (SEPA) - you will only be required to register if your operation is from inland sources of water and between 10 and 50 cubic metres/day or from coastal and transitional waters.</p>
",""
"17","1075328587","Speech and language therapist registration (All UK)","<p>To practise as a speech and language therapist, you need to register with the Health Professions Council (HPC).</p>

<p>This includes using the protected titles:</p>

<ul class=""circlebullet"">
<li>speech and language therapist</li>

<li>speech therapist</li>
</ul>

<p>To be eligible to apply for registration, you must:</p>

<ul class=""circlebullet"">
<li>hold an approved qualification</li>

<li>be in good physical and mental health</li>

<li>be of good character</li>
</ul>

<p>You must enclose a fee and all supporting documents - eg qualifications and health reference from your GP - with your application.</p>

<p>The registration fee for the two-year registration cycle is &pound;152 (&pound;76 per year) and there is a one off non-refundable scrutiny fee of &pound;53. The registration fee is reduced by 50 per cent if you successfully completed a UK approved programme within the last two years.</p>

<p>Further information is available in the downloadable application pack on the HPC website.</p>

<p>If your application is successful, your name will be added to the register and you will receive a registration certificate and authentication card.</p>

<p>You must undertake continuing professional development (CPD) activities as a condition of your registration. You must keep a written record these activities, including any supporting evidence, and submit this for inspection by the HPC on request.</p>

<p>If the HPC is not satisfied that you are meeting your CPD obligations, your name may be removed from the register.</p>

<p>It is a criminal offence to call yourself a speech and language therapist if you are not registered with the HPC. If you do so, you may be fined up to &pound;5,000.</p>",""
"18","1075328592","Charitable collection and sale licence (Scotland)","To hold a collection, or sale of articles, in a public place for charitable purposes, you need a licence or permit from the local authority.",""
"19","1074535037","Registration to carry out gas work (All UK)","<p>In order to work legally on gas fittings or gas storage vessels you must be registered on the Gas Safe Register.</p>

<p>You can apply online or by filling out an application form which can be downloaded from the Gas Safe Register website.</p>

<p>You application must include valid evidence of competence which must be less than five years old, such as:</p>

<ul class=""circlebullet"">
<li>National Accredited Certification Scheme for individual Gas Fitting Operatives (ACS)</li>

<li>ACS aligned National or Scottish Vocational Qualifications</li>
</ul>

<p>If your qualifications are more than five years old, you will need to retrain before registering.</p>

<p>When you register for the first time you will be given probationary registration status which will last for three months. During this period you must notify the Gas Safe Register of all gas work carried out and they will carry out inspections to make sure the work has been completed to the required standards. If gas work notified to the Gas Safe Register or inspected by them is not at the required standard they can extend the probationary period. Once you have demonstrated your competence, your probationary period will finish.</p>

<p>You will be required to pay fees which are currently:</p>

<ul class=""circlebullet"">
<li>&pound;228 for a one off non-refundable application fee</li>

<li>&pound;210 annual registration fee</li>

<li>&pound;63 registration fee for any additional engineers</li>
</ul>

<p>If you are accepted onto the Register it will be for a period of 12 months - you will then need to renew your application every year. The Gas Safe register will contact you by letter or email outlining what you need to do. You will need to pay a renewal fee.</p>

<p>If you are registered with the Gas Safe Register continuously for a period of five years then you will be required to update your current qualifications by completing a relevant aptitude test at an accredited gas assessment centre before the end of the five year period.</p>

<p>Failure to hold current evidence of qualifications may result in your removal from the Gas Safe Register.</p>

<p>If you carry out gas work you must:</p>

<ul class=""circlebullet"">
<li>carry out the work safely and competently</li>

<li>make sure that the work has been tested and commissioned</li>

<li>be registered for the category of work carried out</li>

<li>keep to all standards and documents as listed in the technical standards and normative documents list</li>

<li>carry a licence card</li>

<li>let the Gas Safe Register know if your licence card is lost or stolen and return it to them if asked to do so</li>

<li>ensure that all work meets the requirements of the Health &amp; Safety Executive (HSE) in England, Wales and Scotland and the HSENI in Northern Ireland&nbsp;</li>

<li>not do anything that would contribute to unsafe gas work or illegal activities</li>

<li>notify the Gas Safe Register about any concerns about unsafe gas work carried out by others</li>

<li>keep records of gas work to be provided to the Gas Safe Register upon request which must detail the person doing the gas work, what the gas work was, the date of completion, the address where the work was done and action taken for unsafe situations</li>

<li>report gas work if it is notifiable under Building Regulations</li>
</ul>",""
"20","1074535018","Gaming machine supply and maintenance certificate (Northern Ireland)","To sell, supply or maintain gaming machines in Northern Ireland you need a certificate issued by the local court.",""
"21","1074534960","Export licence for cultural goods (All UK)","<p>To export cultural goods over a certain age and value, either permanently or temporarily, you need an individual licence from the Export Licensing Unit of the Arts Council.</p>

<p>Objects of cultural interest include:</p>

<ul>
<li>works of art</li>

<li>furniture</li>

<li>antiques</li>

<li>means of transport</li>

<li>manuscripts</li>

<li>archaeological items</li>
</ul>

<p>You do not need a licence to export:</p>

<ul>
<li>a cultural object which is less than 50 years old at the time of export</li>

<li>postage stamps and other articles of philatelic interest</li>

<li>birth, marriage or death certificates relating to your personal affairs or those of your spouse for dispatch to another European Union (EU) member state</li>

<li>letters or other writings written by or to you or your spouse</li>
</ul>

<p>If you are intending to export a cultural good within the EU, you will need to apply for an individual UK licence if the cultural good is above the UK age and financial thresholds set out in the UK Open General Export Licence (OGEL) and&nbsp;the Arts Council's&nbsp;'UK Export Licensing for Cultural Goods: Procedures and guidance for exporters of works of art and other cultural goods'.</p>

<p>If the cultural good is below the relevant UK thresholds, it can be exported under the terms of the OGEL without you needing to apply for an individual export licence.&nbsp;</p>

<p>If you are intending to export a cultural good outside the EU, you will need to apply for an individual EU licence. This is if the cultural good is above the EU age and financial thresholds set out in EC Council Regulation 116/2009 and&nbsp;the Arts Council's&nbsp;'UK Export Licensing for Cultural Goods: Procedures and guidance for exporters of works of art and other cultural goods' unless the cultural good is below the relevant EU thresholds but above the relevant UK thresholds, in which case you will need to apply for an individual UK licence.</p>

<p>Contact the Export Licensing Unit for an individual UK or EU application form.</p>

<p>You may need to provide additional information with your application, such as a photograph of the item or details of its provenance (where it arrived in the UK in the past 50 years).</p>

<p>Your application may be referred to an expert adviser in a national museum or gallery for scrutiny. If the expert objects to the permanent export of the cultural good on the grounds of national importance, the case will be referred to the Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest, which will recommend whether the Department for Culture, Media and Sport should defer a decision on the licence application in order to allow a UK institution or individual to raise funds to purchase the item.</p>

<p>If you intend to export a cultural good temporarily, rather than permanently, you will need to specify the date of re-importation on the export licence application.</p>

<p>If an export licence is granted, conditions may be attached.</p>

<p>If you provide false information in your application or fail to comply with any conditions attached to a licence, you may be fined and/or imprisoned for up to two years.</p>

<p>It is important that you read the&nbsp;Arts Council's&nbsp;guidance before making an application.</p>

<p>You can ring the Export Licensing Unit on Tel 020 7973 5188/5228/5139/5387/5194/5241 or email them at <a href=""mailto:elu@artscouncil.org.uk"">elu@artscouncil.org.uk</a>.</p>",""
"22","1074534962","Farrier registration (England, Scotland &amp; Wales)","<p>If you are engaged in the shoeing of horses or other equine animals (known as farriery) in England, Scotland or Wales, you need to be registered with the Farriers Registration Council (FRC).</p>

<p>To be eligible to apply for registration, you must either:</p>

<ul class=""circlebullet"">
<li>hold an approved UK qualification, eg the Diploma of the Worshipful Company of Farriers (DipWCF)</li>

<li>hold a European farriery qualification</li>

<li>have sufficient professional farriery experience obtained in another European state</li>
</ul>

<p>If you hold a European farriery qualification, registration is not automatic. The FRC must first assess your education and training to ensure it meets their requirements. If not, you will have to undertake a period of training under an Approved Training Farrier (ATF) or pass an aptitude test of diploma standard.</p>

<p>If you operated in a European state where farriery is not regulated, you must also provide evidence that you practised farriery on a full-time basis for two years during the past ten years.</p>

<p>If you are applying from another overseas country, have two or more years' farriery experience but don't hold a recognised qualification you will either have to:</p>

<ul class=""circlebullet"">
<li>take the DipWCF examination at the earliest opportunity</li>

<li>complete a prescribed number of weeks at an approved training college, including completion of the NVQ Level 3 in Farriery and then the DipWCF examination</li>

<li>undertake an apprenticeship with an ATF, including completion of the NVQ Level 3 in Farriery and then the DipWCF examination</li>
</ul>

<p>You can apply to register on the FRC website. Make sure you choose the correct application form, depending on your entry route.</p>

<p>You must enclose a registration fee and all supporting documents, eg qualifications and proof of identity, with your application.</p>

<p>You will only be entitled to practise farriery once you receive written confirmation of registration.</p>

<p>If your application is successful, your name and contact details will be added to the register and you will receive a certificate of registration.</p>

<p>You need to pay an annual retention fee to stay on the register.</p>

<p>If you are found guilty of serious professional misconduct, convicted of an offence involving cruelty to animals or it is discovered that you were not properly qualified when you registered, your name may be removed from the register.</p>

<p>It is a criminal offence to carry out farriery or call yourself a farrier or shoeing smith if you are not registered with the FRC. If you do so, you may be fined up to &pound;1,000.</p>",""
"23","1074534964","Registration with the Financial Services Authority (All UK)","<p>To undertake regulated financial activities, you must be authorised by the Financial Services Authority (FSA).</p>

<p>A regulated activity is one which relates to investments that are specified by the Treasury or that relate to property. Examples include:</p>

<ul>
<li>dealing with investments (buying, selling etc) or offering or agreeing to do so, and in the case of insurance contracts, carrying out the contract</li>

<li>arranging investment deals</li>

<li>accepting deposits</li>

<li>asset administration and safekeeping</li>

<li>investment management</li>

<li>advising on investments</li>

<li>creating, running or winding up collective investment schemes</li>

<li>computer or web-based investment transactions</li>

<li>dealing in securities - eg stocks and shares and/or certificates representing them, options and/or futures</li>

<li>dealing with debentures, bonds, loan stock etc, including government bonds etc</li>

<li>collective investment scheme units</li>

<li>dealing with insurance contracts</li>

<li>Lloyd's syndicates</li>

<li>loans secured on land and other arrangements involving land</li>
</ul>

<p>Applications are made to the FSA. You must meet the threshold conditions. These conditions are that:</p>

<ul>
<li>you have the correct legal status - those dealing with insurance contracts must be a company, a registered friendly society or a member of Lloyd's and those accepting deposits or issuing electronic money must be a company or a partnership</li>

<li>you have a head office or registered office, or if not a company, carry on business in the UK</li>

<li>those dealing with contracts of insurance have claims representatives in each European Economic Area (EEA) state</li>

<li>close links with another entity won't affect the FSA's supervision of you</li>

<li>you have suitable resources to carry on the regulated activities</li>

<li>you are fit and proper to carry on the regulated activities</li>
</ul>

<p>Applications must contain a statement detailing the regulated activity or activities you wish to carry out and provide an address for service of any notices or documents. You must also include any other required information.</p>

<p>You cannot apply for authorisation for a regulated activity if you already have an authorisation.</p>

<p>Your authorisation will detail which regulated activities you can carry out and may include limitations on how an activity can be carried out. Authorisations may also include requirements you must comply with.</p>

<p>You may only promote or invite people to take part in investment business if you or a person who approved the promotion are authorised.</p>

<p>If the FSA believe that you are not a fit and proper person to carry out regulated activities, you may be served with a prohibition order preventing you from carrying out a particular function.</p>

<p>Your authorisation may be revoked under certain circumstances - eg if you gave false or misleading information to get your authorisation.</p>

<p>If you carry out regulated activities without being authorised you may commit a criminal offence and be fined, imprisoned for up to two years or both.</p>

<p>If you're not authorised but describe/hold yourself out to be so, you may commit an offence and be fined up to &pound;5,000, imprisoned for six months or both. For offences involving publicly displaying material, the fine will be up to &pound;5,000 multiplied by the number of days the display occurred. If you promote or invite people to take part in regulated investment without being authorised you may commit an offence and be fined, imprisoned for up to two years or both.</p>

<p>If you fail to comply with a prohibition order you may commit an offence and be fined up to &pound;5,000.</p>

<p>Agreements you make when you are not authorised or that are made through a non-authorised third party will be unenforceable against the other person. The other party to the contract may seek to recover any monies paid by them and c","ompensation.</p>

<p>There are additional requirements for those practitioners applying from an EEA state or Treaty country.</p>

<p>Some people may be exempt from authorisation.</p>"
"24","1074534972","Aquaculture licence (Northern Ireland)","<p>To run a freshwater land-based fish farm in Northern Ireland, the farm must be&nbsp;licenced by the Department of Agriculture and Rural Development (DARD).</p>",""
"25","1087856067","Fish dealer licence (Northern Ireland)","<p>You must hold a licence from the Department of Culture, Arts and Leisure to sell, or offer or expose for sale, salmon, trout, eels, pike or pollen, from any vehicle or place.</p>

<p>You must comply with any conditions attached to a licence.</p>
",""
"26","1074534989","Fish movement permit (Northern Ireland)","To move live fish, gametes, shellfish and spat in Northern Ireland you need a permit from the Department of Agriculture and Rural Development (DARDNI).",""
"27","1074534991","Fishing vessel licence (All UK)","<p>If you own or use a fishing vessel in the UK to fish for sea fish you will need a fishing vessel licence from the Fisheries Offices of the Marine Management Organisation in England and Wales, the Environment and Rural Affairs Department of the Scottish Government in Scotland or the Department of Agriculture and Rural Development in Northern Ireland.</p>

<p>A vessel must be registered with the Registry of Shipping and Seamen (RSS) before it can be issued with a fishing vessel licence unless the vessel:</p>

<ul class=""circlebullet"">
<li>is a salmon coble</li>

<li>has an overall length of 10 metres and under and is not propelled by an engine (for example the vessel only has oars or a sail)</li>

<li>has an overall length of 10 metres and under and will only be used to fish for common eels</li>
</ul>

<p>You must also have a licence entitlement before you can license your vessel for the first time. You will acquire licence entitlement if you buy a vessel with or without its licence. You may also buy an existing separate licence entitlement.</p>

<p>You must apply to your local Marine Management Organisation (MMO) - using form AFL7 'Establishment or transfer of an entitlement and transfer of a licence' - to transfer the licence into your name before you can apply for a licence.</p>

<p>Once the licence entitlement is in your name, you need to convert it into a fishing licence. To do this you must send the following to your local MMO:</p>

<ul class=""circlebullet"">
<li>your valid certificate of registry</li>

<li>form AFL2 'Application for a fishing licence for a British registered fishing vessel'</li>

<li>completed AFL7 showing you as the entitlement holder</li>
</ul>

<p>You must send the original documents, not copies. Your local MMO office will try to process your application within five working days.</p>

<p>The type of licence you need depends on the size of your vessel and the category your fishing activities fall into.</p>

<p>Vessels are divided into two groups for licensing purposes - those that are:</p>

<ul class=""circlebullet"">
<li>10 metres and under in overall length</li>

<li>over 10 metres in overall length</li>
</ul>

<p>The three licence categories are:</p>

<ul class=""circlebullet"">
<li>Category A - authorises vessels to fish for all available quota stocks and up to a restricted tonnage for combined pelagic stocks</li>

<li>Category B - authorises vessels over 10 metres to fish for a restricted range of quota stocks and a restricted tonnage of combined pelagic stocks</li>

<li>Category C - authorises vessels over 10 metres to fish for a range of miscellaneous stocks and a restricted tonnage of combined pelagic stocks</li>
</ul>

<p>You do not need a fishing licence if:</p>

<ul class=""circlebullet"">
<li>you only fish for salmon or migratory trout</li>

<li>your vessel is 10 metres or less in length and you only fish for common eels</li>

<li>you only fish within the 12 nautical mile limits around Jersey, Guernsey or the Isle of Man - you should contact the relevant authority for advice about their licensing requirements</li>

<li>you only use your vessel for carrying anglers who are fishing for pleasure</li>
</ul>",""
"28","1074534995","Fishing vessel registration (All UK)","<p>If you own or use a fishing vessel it must be registered with the Registry of Shipping and Seamen unless the vessel:</p>

<ul class=""circlebullet"">
<li>is a salmon coble</li>

<li>has an overall length of 10 metres and under and is not propelled by an engine (for example the vessel only has oars or a sail)</li>

<li>has an overall length of 10 metres and under and will only be used to fish for common eels</li>
</ul>

<p>You will need to complete a British ship form and submit it with the appropriate fees and support documentation:</p>

<ul class=""circlebullet"">
<li>a copy of certificate of incorporation - if the owner is a body corporate</li>

<li>safety certificate - for vessels over 15 metres</li>

<li>International Tonnage Certificate (ITC69) - if the vessel is over 15 metres</li>

<li>Seafish Certificate</li>
</ul>

<p>When you apply, your vessel will be issued with a Carving and Marking note. This must be carved and marked onto your vessel by an Authorised Measurer. A measurement of vessels:</p>

<ul class=""circlebullet"">
<li>15 metres in length and over is carried out by one of the classification society surveyors, who complete a certificate of measurement and an International Convention certificate 1969</li>

<li>under 15 metres in length in England, Wales and Northern Ireland is carried out by a local Coastguard - in Scotland measurement is carried out by a local fishery officer and a certificate of measurement only is issued for these vessels</li>
</ul>

<p>You must then return the Carving and Marking note and the measurement certificate to the UK Ship Register, along with the appropriate fee.</p>

<p>You must have a list of nominated names for the vessel. These names must be unique to the port that you wish to register under. A Certificate of Registry is valid for five years and must be renewed if you want to continue to fish for profit.</p>

<p>You can get full or simple registration for a fishing vessel.</p>

<p>Full registration requires:</p>

<ul class=""circlebullet"">
<li>proof of ownership, including Bills of Sale for the last three years</li>

<li>builders certificate for new vessels</li>

<li>forms MSF 4740, MSF 4728 including a declaration of the maximum continuous engine power (MCEP), MSF 4705 and MSF 4743</li>
</ul>

<p>If you would like to register a mortgage against your vessel you will require a full registration.</p>

<p>Alternatively,&nbsp;you can register your vessel through a simple registration where only the receipt of invoice is acceptable. Mortgages cannot be recorded against a vessel with a simple registration.</p>

<p>Every vessel must be surveyed before it can be registered on the UK Ship Register.</p>

<p>Surveys are usually carried out by a UK Ship Register surveyor, though they may be carried out by a Class surveyor.</p>

<p>The Principal Fishing Surveyor (PFS) will request a copy of all existing statutory certification in order that new certificates can be prepared prior to survey. Details of certification, plans and operational information will be discussed by the owner and the PFS.</p>

<p>If, during a survey, your vessel meets international standards of safety and pollution prevention, a short-term certification can be issued immediately. Full term certification would then follow in due course.</p>

<p>If you own a fishing vessel that is under 15 metres in length overall, it will not be subject to a regular statutory survey. However, all registered small fishing vessels must be seaworthy and equipped to a safe standard so still need to have regular inspections.</p>",""
"29","1087725247","Pedlar's certificate (All UK)","<p>If you sell door to door or in the street without a stall or fixed location you may need a pedlar's certificate.</p>

<p>To be a pedlar you must:</p>

<ul>
<li>trade on foot</li>

<li>carry your goods with you (although case law has suggested that a small means of transporting goods may be acceptable)</li>

<li>generally keep on the move, pausing to make sales</li>
</ul>

<p>Certificates are issued by the police in the area in which you have resided for the previous month. You must be above 17 years of age, a person of good character, and in good faith intend to trade as a pedlar.</p>

<p>A fee of &pound;12.25 will be charged and the certificate will remain in force for one year.</p>

<p>Once issued you are entitled to trade as a pedlar in any part of the UK providing the certificate remains in force. But you should note that in some local authority areas, and across London pedlary is restricted to door to door selling.</p>

<p>Certificates are not required by commercial travellers, sellers of fish, fruit, or victuals or people selling at markets or fairs.</p>

<p>If you fall outside the definition of pedlar you may be a street trader and require a street traders' licence.</p>

<p>You must produce your licence on request.</p>

<p>If you trade as a pedlar without a certificate or give or lend your licence to someone else to use, you may be fined up to &pound;200. If you provide false information to obtain a licence, forge, help forge or carry or use a forged licence you may be fined up to &pound;200, imprisoned for up to six months or both. You licence will be endorsed to show any convictions.</p>
",""
"30","1074534903","Registration of day nurseries (England &amp; Wales)","<p>If you provide day care for children under the age of eight, such as an all-day nursery, you will need to register with Ofsted in England or&nbsp;the Care and Social Services Inspectorate in Wales (CSSIW).</p>",""
"31","1074534914","Distiller's licence and approval of plant and processes (All UK)","<p>If you plan to manufacture spirits, you need&nbsp;the following from HM Revenue &amp; Customs (HMRC):</p>

<ul class=""circlebullet"">
<li>a distiller's licence</li>

<li>approval of the plant and processes you intend to use</li>
</ul>

<h3>Distiller's licence</h3>

<p>Standard wording for a distiller's licence application is available in guidance on the HMRC website.</p>

<p>Applications should be sent to the HMRC National Registration Unit. No fee is payable.</p>

<p>If you intend to produce spirits at more than one set of premises, you must get a licence for each.</p>

<p>If you're not the owner of the premises, you may obtain a licence in joint names with the owner.</p>

<p>HMRC may refuse your application or apply conditions to your licence if the largest still to be used in the manufacturing process has a capacity below 18 hectolitres.</p>

<p>If you manufacture spirits without a licence, you may be fined up to &pound;5,000. Spirits, stills and other utensils and materials used in the manufacturing process may also be forfeited.</p>

<h3>Approval of plant and process</h3>

<p>As well as a distiller's licence, you should apply in writing to the HMRC National Registration Unit for approval of the plant and processes you intend to use in the manufacturing process.</p>

<p>There is prescribed form for this, but your application should contain:</p>

<ul class=""circlebullet"">
<li>the location of the proposed distillery</li>

<li>a full description of the manufacturing process</li>

<li>the number and description of the vessels used in the manufacturing process and use of all plant</li>

<li>a plan of your premises</li>
</ul>

<p>No fee is payable.</p>

<p>Approval will be given in writing and may be subject to conditions.</p>

<p>Significant changes to plant or processes must be notified in writing to the National Registration Unit.</p>

<p>If you have any queries about obtaining a licence or approval, you should call the&nbsp;HMRC Excise Helpline on Tel 0845 010 9000.</p>",""
