id,vid,nid,title,additional_information,eligibility,evaluation,long_description,max_turnover,max_business_age,max_employees,max_grant_value,min_turnover,min_business_age,min_employees,min_grant_value,organiser,short_description,url,will_continue_on,contact_details
11,18861,10357,"SIGNAL Centre of Business Excellence - North Down",,"<p>Small and medium-sized enterprises (SMEs) located in North Down may apply.</p> ",,"<p>Developing businesses can access advice and support to assist with a wide range of topics and concerns, including:</p> <ul> <li>networking</li> <li>e-business</li> <li>facilities for hire</li> <li>market research</li> </ul> ",,0,249,0,,0,1,0,"Signal Business Growth Centre","Support for developing businesses in North Down",http://www.signalni.com/home.asp,"Signal Business Growth Centre website","Signal Business Growth Centre signalbusiness@northdown.gov.uk 028 9147 3788 2 Innotec Drive Balloo Road Bangor BT19 7PD"
12,18370,10359,"Business Mentoring - Scotland","<p>This service is provided free to businesses and social enterprises.</p> <p>The website has information on how mentors have helped other businesses and customers experiences of the service.</p> ","<p>This service is for growing businesses and social enterprises based in Scotland.</p> ",,"<p>The Business Mentoring service is a partnership between Scottish Enterprise and Scottish Chamber of Commerce, with funding support from the European Regional Development Fund. The service provides experienced mentors that can encourage and help growing companies and social enterprises to develop and explore opportunities.</p> <p>Business mentors share their insights, knowledge, experiences and provide an objective, impartial view of businesses to help business leaders review their goals and plans.</p> <p>This can help businesses:</p> <ul> <li>develop key business knowledge and skills</li> <li>improve problem-solving abilities</li> <li>address barriers to growing their business</li> <li>widen their network of business contacts</li> </ul> <p>An experienced mentor can also help businesses enhance their ability to boost profitability and productivity and develop new opportunities such as entering new markets, launching new products or improving customer service.</p> ",,0,249,0,,0,1,0,"Business Mentoring Scotland","Mentoring support for businesses based in Scotland",http://businessmentoringscotland.co.uk,"Business Mentoring Scotland website","Business Mentoring Scotland admin@businessmentoringscotland.org 0845 609 6622 Scottish Chambers of Commerce Business Mentoring 30 George Square Glasgow G2 1EQ"
13,16737,10360,"Professional and Career Development Loans",,,,"<p>Professional and Career Development Loans are a deferred repayment bank loan set at a competitively low interest rate that can be used to help individuals gain training and qualifications to improve their job skills or even launch a new career or profession.</p> <p>Professional and Career Development Loans are a competitive commercial bank loan which learners can use to pay for work-related learning.</p> <p>The Young People's Learning Agency (YPLA) will pay the interest on the loan whilst the learner is in learning and for up to one month afterwards. Learners must then start to repay the loan when they finish studying, whether or not they complete their course or get a job.</p> ",,0,249,10000,,0,1,300,"Young People's Learning Agency","Loans to help individuals pay for vocational learning or education",http://www.direct.gov.uk/pcdl,"Young People's Learning Agency website","Young People's Learning Agency 0800 100 900 Capacity Building Learner Support The Straddle Victoria Quays Sheffield S2 5SY"
14,18371,10362,"Innovators Counselling and Advisory Service - Scotland",,"<p>Available to small businesses and inventive individuals located in Scotland, who wish to place their ideas into the marketplace.</p> ",,"<p>The service offers guidance on intellectual property rights and signposting to other sources of assistance. Funding, training and business planning advice is also available.</p> ",,0,249,0,,0,1,0,"Glasgow Opportunities (GO)","Innovation support for Scottish companies",http://www.icass.co.uk,"Glasgow Opportunities (GO) website","Glasgow Opportunities (GO) 0141 222 9580 2nd Floor Mercantile Chambers 53 Bothwell Street Glasgow G2 6TS"
15,16782,10364,"SAB Development Grants - Aberdeenshire","<p>Fishing and agriculture are not covered by the scheme, but agricultural diversification projects are covered.</p> ","<p>The following factors must be covered in any application:</p> <ul> <li>the additional economic benefit for Aberdeenshire</li> <li>demonstration of the viability of the proposal</li> <li>potential for additional employment</li> <li>the effect of the proposal on existing local businesses</li> <li>the real need for top-up finance</li> </ul> ",,"<p>Grants are available to assist companies in Aberdeenshire with:</p> <ul> <li>non-statutory training</li> <li>research and development</li> <li>market development</li> <li>implementation of a recognised quality system</li> <li>viability assessment and establishment of community businesses</li> <li>exhibiting at an exhibition or trade show outside North East Scotland</li> </ul> ",,0,249,10000,,0,1,0,"Aberdeenshire Council","Grants for business development projects in Aberdeenshire",http://www.aberdeenshire.gov.uk/support/finance/sab.asp,"Aberdeenshire Council website","Aberdeenshire Council business.support@aberdeenshire.gov.uk 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
16,16786,10365,"SAB Rental Grants - Aberdeenshire","<p>Fishing and agriculture are not covered by the scheme, but agricultural diversification projects will be considered.</p> ","<p>The following factors must be covered in any application:</p> <ul> <li>the additional economic benefit for Aberdeenshire</li> <li>demonstration of the viability of the proposal</li> <li>potential for additional employment</li> <li>the effect of the proposal on existing local businesses</li> <li>the real need for top-up finance</li> </ul> ",,"<p>Grants are available for the rental of industrial premises where at least five permanent jobs are being created at any one time.</p> ",,0,249,50000,,0,1,0,"Aberdeenshire Council","Grants to help with the rental costs of industrial premises in Aberdeenshire",http://www.aberdeenshire.gov.uk/support/finance/sab.asp#grants,"Aberdeenshire Council website","Aberdeenshire Council business.support@aberdeenshire.gov.uk 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
17,16780,10366,"Rural Shop Support Scheme - Aberdeenshire","<p>Assistance may be available for the following:</p> <ul> <li>improvements and extensions to shop layout and fixtures</li> <li>schemes to improve the internal or external appearance of the shop</li> <li>promotion of operations which would help the overall viability of the shop</li> </ul> ","<p>Assistance is focused on shops and/or Post Offices that are the sole permanent provider of everyday products in a rural community.</p> <p>Consideration will be given in certain circumstances in areas with two outlets where a clear need exists. The scheme is open to individuals intending to open a new shop in area where no such facility exists. Mobile shops may also be eligible.</p> ",,"<p>Grants are available to help with the development and diversification of rural shops in Aberdeenshire. The scheme provides:</p> <ul> <li>business counselling</li> <li>specialist consultancy</li> <li>training advice</li> <li>grant assistance</li> </ul> ",,0,249,7500,,0,1,500,"Aberdeenshire Council","Grants for rural shops in Aberdeenshire",http://www.aberdeenshire.gov.uk/support/finance/shop.asp,"Aberdeenshire Council website","Aberdeenshire Council business.support@aberdeenshire.gov.uk 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
18,16783,10367,"SAB Interest-Free Loans - Aberdeenshire","<p>Company directors are required to give repayment guarantees for loans.</p> <p>Loans at commercial rates may be available to businesses that do not meet all the criteria.</p> ","<p>The following factors must be covered in any application:</p> <ul> <li>the additional economic benefit for Aberdeenshire</li> <li>demonstration of the viability of the proposal</li> <li>potential for additional employment</li> <li>the effect of the proposal on existing local businesses</li> <li>the real need for top-up finance</li> </ul> ",,"<p>Interest free loans are available for the purchase of new or used plant and equipment.</p> ",,0,249,15000,,0,1,0,"Aberdeenshire Council","Loans for the purchase of new or used plants and equipment",http://www.aberdeenshire.gov.uk/support/finance/sab.asp#loans,"Aberdeenshire Council website","Aberdeenshire Council business.support@aberdeenshire.gov.uk 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
19,16785,10368,"SAB Low-Interest Loans - Aberdeenshire","<p>Company directors are required to give repayment guarantees for loans.</p> <p>Loans at commercial rates may be available to businesses that do not meet all the criteria.</p> ",,"<p>The following factors must be covered in any application:</p> <ul> <li>the additional economic benefit for Aberdeenshire</li> <li>demonstration of the viability of the proposal</li> <li>potential for additional employment</li> <li>the effect of the proposal on existing local businesses</li> <li>the real need for top-up finance</li> </ul> ","<p>Low-interest loans are available for working capital.</p> ",,0,249,25000,,0,1,0,"Aberdeenshire Council","Loans for working capital for businesses in Aberdeenshire",http://www.aberdeenshire.gov.uk/support/finance/sab.asp#loans,"Aberdeenshire Council website","Aberdeenshire Council business.support@aberdeenshire.gov.uk 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
20,16898,10369,"WRDC Loan Fund - Wigtownshire",,"<p>Existing and start-up businesses wishing to fund capital projects within Wigtownshire may be eligible.</p> ",,"<p>Loans are available to businesses based in Wigtownshire for start-up or expansion purposes.</p> ",,0,249,5000,,0,1,0,"WRDC (Enterprise Trust) Limited","Loans for business start-ups or business expansion in Wigtownshire",http://www.wrdc.co.uk/services.html,"WRDC (Enterprise Trust) Limited website","WRDC (Enterprise Trust) Limited enquiries@wrdc.co.uk 01671 404 500 WRDC Business Centre 6-8 Queen Street Newton Stewart Wigtownshire Scotland DG8 6JL"
21,16519,10370,"Business Training and Support - West Dunbartonshire",,"<p>Businesses must be operating in West Dunbartonshire and employ fewer than 250 people.</p> <p>Eligible training fees must be external or additional to the company.</p> ",,"<p>This scheme provides up to 50 per cent of training fees and is part-funded by Europe. It aims to improve the competitiveness of businesses by staff training.</p> ",,0,249,0,,0,1,0,"West Dunbartonshire Council - Economic Development","Training grants to help businesses to improve their performance",http://www.wdcweb.info/business-and-trade/financial-support/,"West Dunbartonshire Council - Economic Development website","West Dunbartonshire Council - Economic Development business.support@west-dunbarton.gov.uk 01389 737 777 Council Offices Garshake Road Dumbarton West Dunbartonshire G82 3PU"
22,16664,10371,"Interest-Free Loan - East Lothian",,"<p>The business' head office must be in East Lothian.</p> ",,"<p>This scheme provides interest-free loans to all businesses , established and start up, who are based in East Lothian.</p> ",,0,249,25000,,0,1,0,"East Lothian Council - Economic Development Division","Interest-free loans for new and growing businesses based in East Lothian",http://www.eastlothian.gov.uk/site/scripts/documents_info.php?documentID=901&pageNumber=2,"East Lothian Council - Economic Development Division website","East Lothian Council - Economic Development Division rbaty@eastlothian.gov.uk 01620 827 177 Carlyle House Lodge Street Haddington East Lothian EH41 3DX"
23,16741,10372,"Property Support Grant - East Renfrewshire",,"<p>Businesses within certain towns in the East Renfrewshire area are eligible. Please contact organisers for further details.</p> ",,"<p>The grant is available to help businesses fund improvements to their premises, in order to improve the economic and environmental conditions of East Renfrewshire.</p> ",,0,249,0,,0,1,0,"East Renfrewshire Council","Discretionary grants to help businesses to improve their premises",http://www.eastrenfrewshire.gov.uk/business-trade/support-for-businesses.htm,"East Renfrewshire Council website","East Renfrewshire Council 0141 577 3791 Business Development 2 Spiersbridge Way Spiersbridge Business Park Thornliebank G46 8NG"
24,16798,10373,"Skills and Business Growth Programme - Glasgow",,"<p>Businesses must:</p> <ul> <li>be operating from business premises within Glasgow City Council's boundary</li> <li>generate more than 50 per cent of turnover from outwith Glasgow or</li> <li>generate more than 50 per cent of their turnover from manufacturing</li> </ul> <p>Retail businesses are not eligible.</p> ",,"<p>The Skills and Business Growth Programme is a training grant designed to help businesses in Glasgow provide higher level management and technical skills for employees, manager and owners.</p> <p>The programme seeks to improve the competitiveness of Glasgow Business by helping businesses provide formal training of a high standard for all members of the workforce thereby improving their productivity and employability.</p> ",,0,249,0,,0,1,0,"Glasgow City Council","Training grants for businesses in Glasgow",http://www.glasgow.gov.uk/en/Business/Businesssupport/TrainingGrants/skillsandbusinessgrowthprogramme.htm,"Glasgow City Council website","Glasgow City Council 0141 287 7259 Business Services Development and Regeneration 229 George Street Glasgow G1 1QU"
25,17424,10374,"Property Assistance Scheme - Inverclyde",,"<p>The premises must be owned by the business or on a long lease.</p> ",,"<p>This scheme offers financial support for general and security improvements to commercial premises.</p> ",,0,249,10000,,0,1,0,"Inverclyde Council","Financial support to improve business properties in Inverclyde",http://www.inverclyde.gov.uk/business-and-trade/business-development/property-assistance-scheme/,"Inverclyde Council website","Inverclyde Council eds.enquiries@inveclyde.gov.uk 01475 715 555 Business Store 75 - 81 Cathcart Street Greenock PA15 1DE"
26,17426,10375,"Small Business Loan Scheme - Inverclyde",,"<p>Businesses must:</p> <ul> <li>be based in Inverclyde</li> <li>have a business plan</li> </ul> ",,"<p>The scheme aims to provide gap funding in the form of loans to encourage the creation and growth of small and medium-sized enterprises.</p> ",,0,249,5000,,0,1,0,"Inverclyde Council","Interest-free loans for small and medium-sized enterprises in Inverclyde",http://www.inverclyde.gov.uk/business-and-trade/business-development/small-business-loan-scheme/,"Inverclyde Council website","Inverclyde Council eds.enquiries@inveclyde.gov.uk 01475 715 555 Business Store 75 - 81 Cathcart Street Greenock PA15 1DE"
27,16787,10376,"SAB Sustainable Business Grant - Aberdeenshire",,"<p>The following factors must be covered in any application:</p> <ul> <li>the additional economic benefit for Aberdeenshire</li> <li>demonstration of the viability of the proposal</li> <li>potential for additional employment</li> <li>the effect of the proposal on existing local businesses</li> <li>the real need for top-up finance</li> </ul> ","<p>There are two stages to the grant procedure:</p> <ul> <li>an audit by an approved consultant, with recommendations for any necessary changes</li> <li>financial assistance with the implementation of these recommendations</li> </ul> ","<p>Grants are available to encourage businesses to install environmentally sustainable processes. In addition, the grant is available to encourage good practice in areas such as using renewable energy, waste management, efficient use of resources, recycling and establishing sustainable working practices. The grant is also available for the installation of equipment.</p> ",,0,249,5000,,0,1,0,"Aberdeenshire Council","Grants to encourage environmentally friendly business practices",http://www.aberdeenshire.gov.uk/support/finance/sab.asp#grants,"Aberdeenshire Council website","Aberdeenshire Council business.support@aberdeenshire.gov.uk 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
28,18869,10377,"Tourism Financial Assistance Scheme - Shetland Islands","<p>Applicants should show evidence of demand for the proposed work.</p> ","<p>Eligible businesses must:</p> <ul> <li>be located outside of Lerwick</li> <li>be commercially viable</li> <li>not jeopardise the viability of existing businesses</li> </ul> ",,"<p>This scheme provides funding for projects which will improve tourist accommodation and facilities. Eligible costs include:</p> <ul> <li>installing and improving accommodation</li> <li>catering</li> <li>access facilities</li> </ul> ",,0,249,45000,,0,1,0,"Shetland Islands Council - Economic Development Unit","Grants to improve tourist accommodation and facilities",http://www.shetland.gov.uk,"Shetland Islands Council - Economic Development Unit website","Shetland Islands Council - Economic Development Unit development@sic.shetland.gov.uk 01595 744 943 3 North Ness Business Park Lerwick Shetland ZE1 0LZ"
29,16151,10378,"Craigmillar Business Incubator",,"<p>Businesses must be located in or going to locate in Craigmillar.</p> ",,"<p>This programme provides business advice to enterprises located in or wishing to relocate to Craigmillar. It includes free support, assistance with property searches and development, and can provide seed corn grants to support entrepreneurial activity.</p> ",,0,249,0,,0,1,0,Cre8te,"Business advice to enterprises located in, or wishing to be in, Craigmillar",http://www.craigmillarincubator.co.uk,"Cre8te website","Cre8te info@cre8te.co.uk 0131 661 8888 Units 1-3 Castlebrae Business Centre 40 Peffer Place Edinburgh EH16 4BB"
30,16805,10379,"Small Business Loan Fund - Glasgow","<p>Various sectors are not eligible for funding, contact organisers for full details.</p> ","<p>Businesses must:</p> <ul> <li>pay business rates and operate a business bank account</li> <li>be operating from commercial premises within the City of Glasgow boundary and employ fewer than 250 people</li> </ul> ","<p>Applicants must demonstrate that the project is commercially viable and that funding is not available from other sources.</p> ","<p>This scheme aims to encourage the creation and growth of small businesses which will contribute to the Glasgow economy in terms of employment and income.</p> ",,0,249,50000,,0,1,0,"Glasgow City Council","Loans to encourage small business development",http://www.glasgow.gov.uk/en/Business/Businesssupport/Advice_Finance/Smallbusinessloanfund/,"Glasgow City Council website","Glasgow City Council 0141 287 7252 Development and Regeneration 229 George Street Glasgow G1 1QU"
31,18876,10380,"Scottish Co-Investment Fund","<p>There are additional eligibility criteria to meet before businesses can apply - please see website.</p> ","<p>Scottish-based SMEs with committed equity investment from an approved SCF partner.</p> ",,"<p>The Scottish Co-investment Fund (SCF) is an equity investment fund established by Scottish Enterprise. It is partly funded by the European Regional Development Fund, alongside approved professional private sector equity investors. The fund invests from &amp;pound;100,000 to &amp;pound;1 million in company finance deals of up to &amp;pound;2 million.</p> ",,0,249,1000000,,0,1,100000,"Scottish Enterprise","A matching service for businesses seeking funding",http://www.scottish-enterprise.com/fund-your-business/scottish-investment-bank/scif.aspx,"Scottish Enterprise website","Scottish Enterprise network.helpline@scotent.co.uk 0141 248 2700 Atrium Court 50 Waterloo Street Glasgow G2 6HQ"
32,16784,10381,"SAB Job Creation Grants - Aberdeenshire","<p>Fishing and agriculture are not covered by the scheme but projects involving diversification out of agriculture are eligible.</p> ","<p>The following factors must be covered in any application:</p> <ul> <li>the additional economic benefit for Aberdeenshire</li> <li>demonstration of the viability of the proposal</li> <li>potential for additional employment</li> <li>the effect of the proposal on existing local businesses</li> <li>the real need for top-up finance</li> </ul> ",,"<p>Grants are available to assist wit the creation of permanent jobs in Aberdeenshire, where at least five permanent jobs are being created at any one time.</p> ",,0,249,1000,,0,1,0,"Aberdeenshire Council","Grants to help create permanent jobs in the area",http://www.aberdeenshire.gov.uk/support/finance/sab.asp#grants,"Aberdeenshire Council website","Aberdeenshire Council 01224 665 218 Woodhill House Westburn Road Aberdeen AB16 5GB"
33,17326,10382,"Opportunity Fund - Highlands","<p>The scheme also provides aftercare monitoring.</p> ","<p>Businesses based in the Highlands Council area may apply. Ineligible industries include:</p> <ul> <li>agriculture</li> <li>fisheries</li> <li>accommodation</li> </ul> ","<p>Businesses must demonstrate:</p> <ul> <li>a viable business plan</li> <li>sound management</li> <li>the ability to create jobs or provide a public benefit</li> </ul> ","<p>This scheme provides low-interest loans to assist new and growing businesses in the Highlands which have failed to secure funding from traditional sources. Eligible costs include:</p> <ul> <li>working capital</li> <li>equipment costs, other than vehicle purchase</li> <li>refurbishing premises</li> </ul> ",,0,249,250000,,0,1,1000,"Highland Opportunity Ltd","Low-interest loans to businesses in the Highland Council area",http://www.highland-opportunity.com/Opp_Fund.html,"Highland Opportunity Ltd website","Highland Opportunity Ltd info@hi 01463 228 340 Highland Council 81A Castle Street Inverness IV2 3EA"
34,18848,10383,"Crofting Counties Agricultural Grants Scheme - Scotland",,"<p>Please see the website for eligibility criteria.</p> ",,"<p>The Crofting Counties Agricultural Grants Scheme (CCAGS) provides assistance towards improving and sustaining the viability of croft business. In doing this it also helps achieve other benefits such as improved animal health and welfare.</p> <p>The principle objective of CCAGS is to sustain the economic basis and way of life and so help retain population in crofting areas.</p> <p>Support is available to eligible applicants for land improvement, agricultural buildings, access and facilities for keeping livestock.</p> ",,0,249,0,,0,1,0,"Scottish Government Environment and Rural Affairs Department","Grants for a range of crofting activities",http://www.scotland.gov.uk/Topics/farmingrural/SRDP/CCAGS,"Scottish Government Environment and Rural Affairs Department website","Scottish Government Rural Payments and Inspections Directorate (SGRPID) SGRPID.Ayr@scotland.gsi.gov.uk 0129 2291 300 Russell House King Street KA8 0BE"
35,18857,10384,"Enterprise Fellowships - Scotland","<p>Residents in the Highlands and Islands area should contact the Highlands and Islands Enterprise Agency (HIE).</p> ","<p>'The scheme is intended for researchers, post graduates and recently graduated students based in academia or the private sector.</p> ",,"<p>The scheme is a programme providing support for researchers who wish to develop a science or technology based idea into a successful company and take a lead role in that company. The programme provides:</p> <ul> <li>a year's salary to develop the commercial proposition and product</li> <li>business training to assist in preparing a business plan</li> <li>access to networks of mentors, business experts and professional advisors</li> </ul> ",,0,249,0,,0,1,0,"Scottish Enterprise","Advice for those developing technological ideas",http://www.scottish-enterprise.com/start-your-business/enterprise-fellowships.aspx,"Scottish Enterprise website","Scottish Enterprise network.helpline@scotent.co.uk 0141 228 2056 Atrium Court 50 Waterloo Street Glasgow G2 6HQ"
36,18884,10385,"Proof of Concept Programme - Scotland","<p>Please see website for more details.</p> ","<p>Entrepreneurs working in Scottish universities, research institutes and NHS Boards are eligible to apply.</p> <p>The programme is also open to universities in the Highlands and Islands area. Residents in the Highlands and Islands area should contact the Highlands and Islands Enterprise Agency (HIE).</p> ",,"<p>Entrepreneurs can obtain financial support to assist them in funding the development of early stage product and process ideas.</p> <p>The Proof of Concept Programme is partly funded by the European Union. It typically supports high-risk projects with the potential to develop into successful businesses or license innovative new technologies.</p> ",,0,249,0,,0,1,0,"Scottish Enterprise","Finance to support the development of early stage ideas",http://www.scottish-enterprise.com/start-your-business/proof-of-concept-programme.aspx,"Scottish Enterprise website","Scottish Enterprise network.helpline@scotent.co.uk 0141 228 2593 Atrium Court 50 Waterloo Street Glasgow G2 6HQ"
