id,vid,nid,title,additional_information,eligibility,evaluation,long_description,max_turnover,max_business_age,max_employees,max_grant_value,min_turnover,min_business_age,min_employees,min_grant_value,organiser,short_description,url,will_continue_on,contact_details
839,19817,13018,"Jobs Growth Wales - Private Sector Element ","<p>Participants must work at least 25 hours per week and a maximum of 40 hours a week. Employers will be reimbursed for National Minimum Wage of the participant plus National Insurance Contributions</p>","<p>The programme will cater for those that are job ready but have had difficulty securing employment.</p><ul><li>16–17 years old and not in education, employment or training</li><li>unemployed, 18–24 years old, in receipt of Department of Work and Pensions (DWP) benefits and ineligible for the Work Programme</li><li>16–17 years old and exiting the Traineeship Programme</li><li>18–24 years old and exiting the Steps to Employment Programme</li><li>16–24 years old and exiting the Pathways to Apprenticeship Programme</li></ul>",,"<p>This programme will provide unemployed young people aged 16-24, with a job opportunity for a six month period. Participants will be paid at or above the National Minimum Wage for a minimum of 25 hours per week.</p><p>Young people will be employed for the duration of the programme and the jobs created must be additional to, and not replace, positions that would otherwise be filled.</p><p>&nbsp;</p>",,0,0,0,,0,0,0,"Welsh Government",,http://wales.gov.uk/topics/educationandskills/skillsandtraining/jobsgrowthwales/;jsessionid=pF2CPD0WTdrqvKywz6qnb6LYVNFYD7wjl1sGJQLjzvSqLnrrppZY!546169119?lang=en,"Welsh Government website","Sarn Mynach, Llandudno Junction LL31 9RZ
03000 6 03000"
840,19641,13019,"Regional Employer National Insurance Contributions Holiday Scheme",,"<p>The scheme is only available to businesses which started between 22 June 2010 and 5 September 2013 in certain UK regions.&nbsp; Please see the website for more details.</p>",,"<p>Under this scheme, for a limited period and subject to meeting certain conditions, new businesses may qualify for a deduction of up to £5,000 from the employer NICs that would normally be due - for each of the first ten employees they take on.</p><p><span style=""font-family: 'Arial','sans-serif'; font-size: 9.5pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN; mso-fareast-language: EN-GB; mso-bidi-language: AR-SA;""></span></p>",,0,0,50000,,0,0,0,"HM Revenue and Customs",,http://www.businesslink.gov.uk/nicsholiday,"HM Revenue and Customs website","Karen Leigh, BIS"
841,21292,13020,"Enterprising Britain 2012","<p>The application must be returned to BIS by midday on 30 May 2012. Information on the project’s success and innovative aspects.</p>","<p>Candidates must be able to show how they have affected a significant and positive change in their approach towards supporting and promoting enterprise in the last two years. There must be a clear focus on enterprise, with a specific desire to promote enterprise over and above other objectives.</p><p>The application must include a description of the project that tells the story of what has been achieved within this period and brings to life the transformation that has occurred.</p><p>Applications will need to provide an insight into the enterprise success and the strategy behind it.</p>","<p>Entrants will be judged in the following three categories:</p><p>The most enterprising place in the UK - To identify the town, city, place or area in the country that is best at improving economic prospects and encouraging enterprise.</p><p>Promoting Enterprise - To identify the place or organisation which best promotes enterprise through:</p><ul><li>young people, women, the unemployed and other disadvantaged communities</li><li>promoting the image of entrepreneurship and entrepreneurs</li><li>encouraging an entrepreneurial culture through events and campaigns</li></ul><p>Encouraging Exporting<strong> - </strong>To identify an organisation which best promotes exporting through:</p><ul><li>providing mentoring services that promotes and encourages exporting through smaller businesses</li><li>providing information and putting small businesses in touch with potential clients</li><li>offering support services that help small and medium-sized enterprises go overseas to trade fairs or through missions&nbsp;&nbsp;</li></ul><p>For further information please refer to website.</p><p>&nbsp;</p>","<p>The Government has launched Enterprising Britain 2012, a nationwide competition to find:</p><ul><li>the most enterprising town, city or place in the UK</li><li>the organisation that best promotes enterprise</li><li>the organisation most successful in encouraging businesses to export</li></ul><p>Two of the Enterprising Britain 2012 winners will be selected to go on to represent the UK at the European Enterprise Promotion Awards.</p><p>&nbsp;</p>",,0,0,0,,24,0,0,"The Department for Business, Innovation and Skills (BIS)",,http://www.bis.gov.uk/enterprising-britain,"The Department for Business, Innovation and Skills (BIS) website","Daisy Cross
Enterprising Britain Awards
BIS, Enterprise Directorate
Victoria 3
1 Victoria Street
London
SW1H 0ET
020 7215 6692"
842,19778,13023,"Taith sustainable travel grant scheme 2012-13",,"<p>The grants provided under the scheme are available to businesses, organisations, schools, further education providers, universities, NHS trusts, and community groups who have prepared a travel plan/action plan and have confirmed their commitment to improve sustainable travel links to their employment or organisations sites.</p><p>These organisations must:</p><ul><li>be located within the Taith region</li><li>have a travel plan/action plan approved by senior management or equivalent</li><li>provide evidence of travel plan monitoring or the provision of baseline data</li></ul><p>Individuals are <strong><u>not</u></strong> eligible for grants under this scheme.</p><p>Applicants must also show:</p><ul><li>that the scheme aims to improve access to the site by sustainable modes of transport and to reduce single occupancy car use to the site</li><li>that the scheme supports the organisation’s travel plan and/or associated initiatives such as the Corporate Health Standard</li><li>plans for marketing/promoting the scheme</li><li>that the scheme addresses a specific target or targets in the travel plan or action plan which will reduce single car occupancy within a specified time period. (eg. Increase cycling by five per cent in three years)</li><li>that the scheme will be activated/completed and invoiced by15th March 2013</li><li>that a robust monitoring and review process is in place to assess the success of the initiative and the overall Travel Plan and an agreement to provide Taith with monitoring data for a period of not less than three years</li><li>plans for maintenance of any equipment as applicable</li><li>that the application is supported by senior management or equivalent and that consultation with employees has taken place</li><li>a willingness to share the results/impacts of the scheme to other organisations (e.g. through Travel Plan networks/media)</li></ul><p>&nbsp;</p>","<p>Panel of Taith officers</p>","<p>The Taith sustainable travel grant scheme offers a grant of up to £10,000 to support sustainable transport initiatives and the implementation of a travel plan for all businesses and organisations across North Wales.</p><p>Innovative and practical solutions are sought which address specific travel access issues and seek to reduce single occupancy car use.</p><p>The scope of the grant application process is flexible to enable tailored solutions to be supported, including proposals to enhance existing services or the provision of new additional services.</p>",,0,0,0,,0,0,0,"Welsh Government",,http://www.taith.gov.uk/,"Welsh Government website","TAITH Office, Flint Station, Flint, Flintshire, CH6 5NW
01352 704544
jessica.pritchard@taith.gov.uk"
843,21301,13024,"Jobs Growth Wales - Young Entrepreneurs Bursary ",,"<p>&nbsp;</p><p>To be eligible for the scheme applicants must:</p><ul><li>be between the ages of 16 – 24 at the time of applying for the award and falls into the Not in Education, Employment or Training category (NEET).</li><li>be due to start their business within two months of the award being approved</li><li>be registered and receiving one to one business advice and mentoring through an approved business support provider</li><li>provide a business plan supporting the application and show that the business is sustainable</li></ul>",,"<p>The young entrepreneur bursary has been developed to support ideas from young people aged 16 - 24 who are not in education, employment or training and who aim to start-up their business within Wales.</p>",,24,0,6000,,16,0,0,"Welsh Government",,http://business.wales.gov.uk/bdotg/action/detail?itemId=5001975102&site=230&type=ONEOFFPAGE,"Welsh Government website","Welsh Government, Sarn Mynach, Llandudno Junction LL31 9RZ
03000 6 03000
businesssupport@wales.gsi.gov.uk"
844,19837,13025,"Barking Enterprise Centre",,"<p>In order to be eligible for this scheme delegates must meet one or more of the below criteria:</p><ul><li>be a resident of London Borough of Barking &amp; Dagenham</li><li>have a business already trading in London Borough of Barking &amp; Dagenham</li><li>be planning to open a new business in London Borough of Barking &amp; Dagenham</li><li>all delegates must be aged 18 or over</li></ul>","<p>Evidence of how delegates meet the eligibilty criteria may be required.</p>","<p>Free support and premises for business start-ups and existing small and medium-sized enterprises within the London Borough of Barking &amp; Dagenham.</p>","£5 million",0,50,0,,0,0,0,"Agilisys Ltd",,http://www.barkingenterprisecentre.co.uk/,"Agilisys Ltd website","Barking Enterprise Centre, 50 Cambridge Road, Barking, East London, IG11 8FG
02082273030
reception@barkingenterprisecentre.co.uk"
845,20918,13026,GrowthAccelerator,,"<p>Any independent small business based inEngland (ie employing fewer than 250 people, turning over less than £40m) and determined to double within three years can apply.</p><p>&nbsp;</p>",,"<p>GrowthAccelerator helps fast growing businesses turn their ambitions into reality with rapid, high and sustainable growth.&nbsp; It’s not about size or sector, it’s about ambition.&nbsp; Aimed at managers of businesses with the potential (product/service and market) to double in three years.</p><p>It’s not about size or sector, it’s about ambition… You can be a small, feisty start-up or a well-established business embracing the challenge of sustaining steady growth. If you’re determined to succeed but feel you lack the right support, are missing opportunities or struggling with finding finance, we can get you growing quickly, achievably, reliably, sustainably.</p><p>GrowthAcceleerator’s aim is to help you double your business within three years. We’ll match you with expert business coaches in your sector and area and suggest ways to boost your innovation, your expansion, your products and your markets.</p><p>GrowthAccelerator is a service provided by leading business growth specialists, which delivers advice uniquely tailored to high-flying businesses – advice that gets hard results. The service is a partnership between private enterprise and government, and it’s affordable.</p><p>GrowthAccelerator’s experts and coaches will help you:</p><ul><li>appreciate your true potential for growth and set achievable goals</li><li>identify and overcome the barriers holding you back</li><li>attract investment by developing your funding proposition and introducing you to funders</li><li>stimulate product development, commercialise your innovation and motivate your employees</li><li>energise your plans with one-to-one leadership and management advice</li><li>meet the peers who’ve tackled the same barriers as you</li><li>connect with business experts and networks to achieve insight and build relationships</li></ul><p>GrowthAccelerator is a partnership between private enterprise and government which means we can keep the service affordable.&nbsp; Because Government is investing with you in the growth of your business, the cost to you is significantly reduced. Your investment in GrowthAccelerator will reflect the size of your business:</p><ul><li>micro and start-up businesses (up to 10 employees) – £600</li><li>small businesses (10 to 49 employees) – £1,500</li><li>medium-sized businesses (50 to 250 employees) – £3,000</li></ul>",40000000,0,250,0,,0,0,0,"Grant Thornton / Department for Business Innovation and Skills",,http://www.growthaccelerator.com,"Grant Thornton / Department for Business Innovation and Skills website",Andy.gilchrist@pera.com
846,20938,13028,"Business Health Check",,"<p>Invest NI clients are eligible for this scheme.</p>",,"<p>A diagnostic service that helps companies take an independent look at business and performance, benchmarking against sector trends, identifying strengths and areas for improvement focus.</p><p>EFQM trained advisers complete the health check by:</p><ul><li>talking to key staff to understand the business</li><li>reviewing key performance metrics and results through sector benchmarking</li><li>identifying strengths and areas for improvement</li><li>comparing a company’s performance to best practice</li></ul><p>The output report presented back to senior managers includes:</p><ul><li>strengths and areas for improvement (against EFQM model)</li><li>benchmark report</li><li>action plan – signposting to company actions &amp; Invest NI services</li></ul>",,0,0,0,,12,0,0,"Invest Northern Ireland (NI)",,http://www.investni.com,"Invest Northern Ireland (NI) website","Invest NI Bedford Square, Bedford Street, Belfast BT2 7ES 0800 181 4422"
847,20010,13029,"E-Solutions centre",,"<p>The scheme is available&nbsp;for all businesses in Northern Ireland with less than 250 employees.</p>",,"<p>Invest NI’s E-solution centre provides independent ebusiness advice to help organisations choose the best technologies and online strategies.</p>",,0,250,0,,0,1,0,"Invest Northern Ireland",,http://www.investni.com/,"Invest Northern Ireland website","Invest NI Bedford Square Bedford Street Belfast BT2 7ES
0800 181 4422"
848,20007,13030,"Human Resources Advice",,"<p>This scheme is available to all Invest NI clients</p>",,"<p>Advice is&nbsp;provided on a one-to-one basis from a team of specialist advisors within Invest NI on issues including:</p><ul><li>recruitment and selection</li><li>performance management</li><li>succession planning&nbsp;</li><li>communication</li></ul><p>Employee engagement issues:</p><ul><li>roles and responsibilities</li><li>company structure</li><li>redundancy</li><li>absence</li><li>disciplinary</li></ul><p>Poor performance issues:</p><ul><li>contracts of employment</li><li>HR policies</li><li>reward and remuneration</li></ul>",,0,0,0,,0,0,0,"Invest Northern Ireland (NI)",,http://www.investni.com/,"Invest Northern Ireland (NI) website","Bedford Square, Bedford Street, Belfast BT2 7ES
Clare.mclaughlin@investni.com
0800 181 4422"
849,19996,13031,"Intellectual property advice and guidance",,"<p>This scheme is available to companies in Northern Ireland.</p>",,"<p>Invest Northern Ireland can provide advice and guidance on intellectual property issues including the following:</p><ul><li>patents and patent searches</li><li>trademarks and trademark searches</li><li>designs and copyright</li><li>licensing agreements</li><li>carrying out an intellectual asset management audit to establish what elements of a business that may need intellectual property protection</li><li>advice on how to get the appropriate protection</li></ul><p>Invest NI also run seminars and events in conjunction with the UK intellectual property office, the British library and the European patent office.<strong></strong></p>",,0,0,0,,0,1,0,"Invest Northern Ireland (NI)",,http://www.investni.com/index/already/product/intellectual_property.htm,"Invest Northern Ireland (NI) website","Invest Northern Ireland Bedford Square Belfast BT2 7ES
0800 181 4422"
850,20008,13032,"The Jobs Fund - not in employment, education or training (NEET)",,"<p>To be eligible for the scheme delegates must be aged 16 – 24 and not in employment, education or training.</p>",,"<p>This scheme offers a business start grant of £1,500 for young people not in employment, education or training (NEET) to complete a business plan with support from Invest NI and other stakeholders.&nbsp;</p>",,0,0,1500,,0,1,1500,"Invest Northern Ireland (NI)",,http://www.investni.com/,"Invest Northern Ireland (NI) website",
851,20009,13033,"The Jobs Fund - Neighbourhood Renewal Area (NRA)",,"<p>To be eligible for the grant delegates must be a resident in a neighbourhood renewal area.</p>",,"<p>This scheme offers a business start grant of £1,000 for people living in a neighbourhood renewal area, to complete a business plan with support from Invest NI and other stakeholders to take the new business forward.</p>",,0,0,1000,,0,1,1000,"Invest Northern Ireland (NI)",,http://www.investni.com/,"Invest Northern Ireland (NI) website","Invest NI, Bedford Square, Bedford Street, Belfast, BT2 7ES
0800 027 0639 "
852,20001,13034,"Self-employment test trading","<p>While on the scheme the participant will continue to receive benefits.</p>","<p>To be eligible for this scheme delegates must be receiving one or more of the below criteria:</p><ul><li>Job seekers allowance (JSA)</li><li>Employment and support allowance (ESA)</li><li>Income Support (IS)</li><li>Incapacity Benefit (IB) &nbsp;</li></ul>",,"<p>This scheme provides unemployed and economically inactive people the opportunity to try out business ideas for up to 26 weeks, with support and guidance from an organization experienced in self-employment issues.</p><p>Test trading is only available to those in receipt of benefits.</p>",,0,0,0,,0,0,0,"Department for Employment and Learning",,http://www.nidirect.gov.uk/index/information-and-services/employment/jobseekers/jobseekers-programmes/stepstowork/jobseekers-stw-step-two.htm,"Department for Employment and Learning website","Programme Management & Development Branch, Adelaide House, 39/49 Adelaide Street, BT2 8FD 0800 181 4422 
stepstoworkmailbox@delni.gov.uk"
853,20011,13035,"Non- Executive Director programme (NEDP)",,"<p>Support is available to Invest NI clients only who are limited companies incorporated in NI.</p><p>Clients are required to submit a short proposal to their client executive. The proposals are assessed against normal Invest NI support criteria. Specifically proposals must be able to demonstrate strategic need /benefit.</p>",,"<p>Discretionary funding will be awarded to businesses to assist them to become more competitive by introducing an experienced Non-Executive Director to join the board to provide knowledge to improve the strategic decision making within the company.</p><p>Non- Executive Directors should be independent&nbsp;and impartial, and bring additional strength&nbsp;and depth to the board. They must have no executive/managerial role in the business. Their focus should be strategic rather than tactical – monitoring and challenging executive performance, corporate communications, corporate governance and succession planning in family businesses etc.</p><p>The Institute of Directors guidelines/factsheet provide further guidance on role of Non-Exec’s.</p>",,0,0,0,,0,0,0,"Invest Northern Ireland (NI)",,http://www.investni.com/,"Invest Northern Ireland (NI) website","INVEST NI, BT2 7EH 0800 181 4422"
